mmsi,updatetime,经度,纬度,航向,速度,艏向,转向率,数据类型,航行状态,异常信息,静态信息更新时间,汇报ETA时间,汇报目的港,吃水,船名,呼号,imo号,船长,船宽
235055656,2022-06-23 16:22:00,109.4809667,18.22001667,61.5,0.6,101,720.0,捕捞,,,2022/6/23 15:41,__,,0.0,G FORCE,MSMP3,0.0,20.0,5.0
235055656,2022-06-23 14:24:00,109.5046767,18.23188167,59.0,0.0,511,800.0,捕捞,,,2022/6/22 12:08,__,,0.0,G FORCE,MSMP3,0.0,20.0,5.0
235055656,2022-06-23 15:34:00,109.481,18.22008333,46.0,0.9,131,720.0,捕捞,,,2022/6/23 18:11,__,,0.0,G FORCE,MSMP3,0.0,20.0,5.0
235055656,2022-06-23 16:21:00,109.4809333,18.22003333,232.0,0.6,165,-0.044640288,捕捞,,,2022/6/23 18:11,__,,0.0,G FORCE,MSMP3,0.0,20.0,5.0
235055656,2022-06-23 17:38:00,109.4924333,18.23523333,84.5,7.6,96,0.0,捕捞,,,2022/6/23 18:11,__,,0.0,G FORCE,MSMP3,0.0,20.0,5.0
412000000,2022-06-23 08:24:00,109.5056033,18.23276833,0.0,0.0,511,0.0,捕捞,,,2022/6/23 23:57,__,QA,0.0,,0,0.0,20.0,5.0
412000000,2022-06-23 11:19:00,109.5055933,18.23278667,0.0,0.0,511,0.0,捕捞,,,2022/6/24 10:24,__,,0.0,BZ28 1SPM,0,0.0,20.0,5.0
412000000,2022-06-23 18:47:00,109.4975833,18.23591667,112.2,7.6,112,0.0,捕捞,,,2022/6/23 18:47,__,0,3.3,0,0,0.0,20.0,5.0
412000000,2022-06-23 10:21:00,109.4814367,18.22360833,0.0,0.1,511,0.0,捕捞,,,2022/6/24 09:36,2022/1/1 01:01,1,0.0,,0,0.0,20.0,5.0
412000000,2022-06-23 10:00:00,109.481345,18.22356667,48.1,1.0,511,0.0,捕捞,,,2022/6/23 15:50,__,,0.0,,0,0.0,20.0,5.0
412371880,2022-06-23 20:56:00,109.4783683,18.24416333,0.0,0.0,511,0.0,其他,,,,,,,,,,37.0,6.0
412371880,2022-06-23 03:41:00,109.4787167,18.24423,0.0,5.6,511,0.0,其他,,,,,,,,,,37.0,6.0
412371880,2022-06-23 23:30:00,109.4786383,18.244205,0.0,3.7,511,0.0,其他,,,,,,,,,,37.0,6.0
412371880,2022-06-23 14:53:00,109.4784333,18.24422,0.0,0.0,511,0.0,其他,,,,,,,,,,37.0,6.0
412371880,2022-06-23 03:09:00,109.4787267,18.244255,0.0,0.1,511,0.0,其他,,,,,,,,,,37.0,6.0
412520420,2022-06-23 15:47:00,109.506225,18.23260167,0.0,0.1,511,0.0,其他,,,,,,,,,,17.0,13.0
412520420,2022-06-23 16:10:00,109.5025117,18.23245833,292.9,5.4,511,0.0,其他,,,,,,,,,,17.0,13.0
412520420,2022-06-23 16:31:00,109.4980867,18.23453333,106.1,6.3,511,0.0,其他,,,,,,,,,,17.0,13.0
412520420,2022-06-23 16:34:00,109.5027917,18.23204,102.0,6.3,511,0.0,其他,,,,,,,,,,17.0,13.0
412520420,2022-06-23 15:53:00,109.50619,18.232625,0.0,0.0,511,0.0,其他,,,,,,,,,,17.0,13.0
412524040,2022-06-23 15:24:00,109.4854933,18.23306167,255.3,4.7,511,0.0,帆船航行,,,,,,,,,,15.0,5.0
412524040,2022-06-23 14:55:00,109.5065533,18.23397167,150.1,2.4,511,0.0,帆船航行,,,,,,,,,,15.0,5.0
412524040,2022-06-23 15:14:00,109.49974,18.23425167,289.9,5.4,511,0.0,帆船航行,,,,,,,,,,15.0,5.0
412524040,2022-06-23 15:12:00,109.5015467,18.23307833,321.0,4.7,511,0.0,帆船航行,,,,,,,,,,15.0,5.0
412524040,2022-06-23 15:27:00,109.4814933,18.230875,229.3,4.9,511,0.0,帆船航行,,,,,,,,,,15.0,5.0
412524350,2022-06-23 16:39:00,109.476095,18.22201333,164.4,3.2,511,0.0,娱乐船,,,2022/6/23 16:38,2022/12/25 13:41,SHANGHAI,12.0,XIULIANGYIHAO,0,126259465.0,33.0,7.0
412524350,2022-06-23 15:55:00,109.5054467,18.23039333,360.0,0.0,511,0.0,娱乐船,,,2022/6/22 19:43,2022/12/25 13:41,SHANGHAI,12.0,XIULIANGYIHAO,0,126259465.0,33.0,7.0
